Seq4416;ee=0.015;size=18;	Unsorted_E27
Seq4459;ee=0.021;size=18;	Unsorted_G44
Seq4470;ee=0.0062;size=18;	Unsorted_N8
Seq4476;ee=0.011;size=18;	Unsorted_H67
Seq4507;ee=0.015;size=18;	Unsorted_E67
Seq4519;ee=0.02;size=18;	Unsorted_G33
Seq4523;ee=0.0062;size=18;	Unsorted_N28
Seq4525;ee=0.014;size=18;	Unsorted_D48
Seq4540;ee=0.02;size=17;	Unsorted_K20
Seq4541;ee=0.02;size=17;	Unsorted_I50
Seq4552;ee=0.0059;size=17;	Unsorted_A61
Seq4579;ee=0.012;size=17;	Unsorted_P7
Seq4596;ee=0.0059;size=17;	Unsorted_A67
Seq4599;ee=0.011;size=17;	Luciferase16_N
Seq4629;ee=0.0062;size=17;	Luciferase8_N
Seq4628;ee=0.0059;size=17;	Unsorted_A22
Seq4639;ee=0.017;size=17;	Unsorted_I40
Seq4651;ee=0.015;size=17;	Unsorted_Q42
Seq4663;ee=0.016;size=17;	Unsorted_B11
Seq4695;ee=0.019;size=17;	Unsorted_K17
Seq4710;ee=0.018;size=16;	Unsorted_J44
Seq4764;ee=0.013;size=16;	Luciferase41_N
Seq4785;ee=0.0059;size=16;	Unsorted_A21
Seq4844;ee=0.011;size=16;	Unsorted_H41
Seq4856;ee=0.012;size=16;	Unsorted_P42
Seq4886;ee=0.016;size=16;	Unsorted_B25
Seq4932;ee=0.015;size=15;	Unsorted_Q62
Seq4937;ee=0.012;size=15;	Unsorted_P10
Seq4953;ee=0.0062;size=15;	PD1-Avidin7_N
Seq4955;ee=0.015;size=15;	Unsorted_Q10
Seq5017;ee=0.017;size=15;	Unsorted_Q25
Seq5071;ee=0.0062;size=14;	Unsorted_N63
Seq5078;ee=0.04;size=14;	Unsorted_Q37
Seq5112;ee=0.016;size=14;	Unsorted_N59
Seq5118;ee=0.0062;size=14;	Unsorted_N24
Seq5132;ee=0.0087;size=14;	Unsorted_M45
Seq5155;ee=0.0062;size=14;	Unsorted_N6
Seq5170;ee=0.0062;size=14;	Unsorted_N38
Seq5181;ee=0.016;size=14;	Unsorted_B64
Seq5201;ee=0.0062;size=14;	Unsorted_N19
Seq5264;ee=0.012;size=14;	Unsorted_P50
Seq5265;ee=0.017;size=14;	Unsorted_B52
Seq5288;ee=0.0059;size=13;	GFP21_A
Seq5293;ee=0.0059;size=13;	GFP41_A
Seq5335;ee=0.0059;size=13;	GFP38_A
Seq5372;ee=0.023;size=13;	Unsorted_C16
Seq5427;ee=0.015;size=13;	Unsorted_E52
Seq5424;ee=0.017;size=13;	Unsorted_I31
Seq5434;ee=0.012;size=13;	VEGF16_N
Seq5467;ee=0.36;size=13;	Unsorted_I60
Seq5499;ee=0.0059;size=13;	Unsorted_A26
Seq5505;ee=0.02;size=13;	Unsorted_G40
Seq5560;ee=0.045;size=12;	Unsorted_D21
Seq5595;ee=0.014;size=12;	PE46_O
Seq5634;ee=0.014;size=12;	Unsorted_D42
Seq5710;ee=0.015;size=12;	Unsorted_Q6
Seq5720;ee=0.0087;size=12;	Unsorted_M16
