Seq5354;ee=0.017;size=14;	Unsorted_J60
Seq5348;ee=0.017;size=14;	Unsorted_F34
Seq5367;ee=0.0059;size=14;	Unsorted_A9
Seq5377;ee=0.015;size=14;	Unsorted_E27
Seq5395;ee=0.014;size=14;	PE48_O
Seq5405;ee=0.0062;size=14;	Unsorted_N42
Seq5414;ee=0.017;size=14;	Unsorted_I62
Seq5432;ee=0.022;size=14;	Unsorted_C49
Seq5452;ee=0.014;size=14;	PE47_O
Seq5450;ee=0.022;size=14;	Unsorted_C74
Seq5463;ee=0.014;size=14;	Unsorted_L65
Seq5470;ee=0.014;size=14;	Unsorted_O6
Seq5474;ee=0.017;size=14;	Unsorted_E6
Seq5486;ee=0.0059;size=14;	CTLA-Avidin2_A
Seq5490;ee=0.0069;size=14;	Unsorted_N60
Seq5507;ee=0.015;size=14;	PE11_O
Seq5514;ee=0.0059;size=14;	GFP27_A
Seq5536;ee=0.023;size=13;	Unsorted_C39
Seq5552;ee=0.023;size=13;	Unsorted_C68
Seq5567;ee=0.0059;size=13;	PD1-Avidin39_A
Seq5601;ee=0.022;size=13;	Unsorted_C16
Seq5597;ee=0.0059;size=13;	Unsorted_A28
Seq5620;ee=0.0062;size=13;	Unsorted_N8
Seq5633;ee=0.22;size=13;	Unsorted_Q34
Seq5637;ee=0.0062;size=13;	VEGF24_N
Seq5659;ee=0.016;size=13;	Unsorted_B29
Seq5666;ee=0.0059;size=13;	Unsorted_A66
Seq5673;ee=0.012;size=13;	Unsorted_P54
Seq5678;ee=0.0062;size=13;	Unsorted_N55
Seq5700;ee=0.018;size=13;	Unsorted_J8
Seq5706;ee=0.081;size=13;	Unsorted_I18
Seq5704;ee=0.0062;size=13;	Luciferase42_N
Seq5733;ee=0.016;size=13;	Native_B1
Seq5747;ee=0.0059;size=13;	Unsorted_A15
Seq5753;ee=0.022;size=13;	Unsorted_G44
Seq5807;ee=0.017;size=12;	Unsorted_I61
Seq5815;ee=0.023;size=12;	Unsorted_C12
Seq5818;ee=0.0062;size=12;	Unsorted_N31
Seq5838;ee=0.013;size=12;	Unsorted_L23
Seq5842;ee=0.011;size=12;	CTLA-Avidin4_H
Seq5870;ee=0.0059;size=12;	GFP16_A
Seq5878;ee=0.016;size=12;	Unsorted_Q18
Seq5890;ee=0.0059;size=12;	GFP24_A
Seq5891;ee=0.28;size=12;	Unsorted_Q37
Seq5912;ee=0.0062;size=12;	VEGF17_N
Seq5937;ee=0.0059;size=12;	Unsorted_A40
Seq6023;ee=0.0089;size=12;	Unsorted_M2
Seq6028;ee=0.022;size=12;	Native_C1
Seq6055;ee=0.0062;size=12;	VEGF42_N
Seq6066;ee=0.017;size=11;	Unsorted_F41
Seq6074;ee=0.12;size=11;	Unsorted_J12
Seq6070;ee=0.015;size=11;	Unsorted_E19
Seq6089;ee=0.015;size=11;	Unsorted_E43
Seq6105;ee=0.018;size=11;	Unsorted_K70
Seq6112;ee=0.016;size=11;	Unsorted_E22
Seq6128;ee=0.045;size=11;	Unsorted_J32
Seq6129;ee=0.015;size=11;	Unsorted_D17
Seq6131;ee=0.022;size=11;	Unsorted_C38
Seq6141;ee=0.015;size=11;	Unsorted_Q36
Seq6154;ee=0.023;size=11;	Unsorted_C3
Seq6161;ee=0.012;size=11;	Unsorted_P65
Seq6171;ee=0.018;size=11;	Unsorted_K15
Seq6215;ee=0.018;size=11;	Unsorted_K19
Seq6222;ee=0.0062;size=11;	PE4_N
Seq6329;ee=0.0062;size=11;	Unsorted_N11
Seq6367;ee=0.023;size=11;	Unsorted_C72
Seq6380;ee=0.016;size=11;	Unsorted_L49
Seq6391;ee=0.019;size=11;	Unsorted_J21
Seq6465;ee=0.017;size=10;	Unsorted_J29
Seq6480;ee=0.014;size=10;	PE35_O
Seq6482;ee=0.018;size=10;	Unsorted_K14
Seq6493;ee=0.0059;size=10;	Unsorted_A20
Seq6489;ee=0.023;size=10;	Unsorted_C11
Seq6497;ee=0.017;size=10;	Unsorted_I35
Seq6530;ee=0.015;size=10;	Unsorted_E7
Seq6545;ee=0.017;size=10;	Unsorted_J27
Seq6573;ee=0.021;size=10;	CTLA-Tris-Carb27_K
Seq6585;ee=0.017;size=10;	Unsorted_J9
Seq6586;ee=0.014;size=10;	Unsorted_D58
Seq6594;ee=0.018;size=10;	Unsorted_K66
Seq6609;ee=0.018;size=10;	Unsorted_I67
Seq6617;ee=0.0098;size=10;	Unsorted_A11
Seq6636;ee=0.0062;size=10;	VEGF2_N
Seq6669;ee=0.0059;size=10;	CTLA-Avidin25_A
Seq6674;ee=0.046;size=10;	Unsorted_J34
Seq6688;ee=0.014;size=10;	Unsorted_D68
Seq6727;ee=0.013;size=10;	Unsorted_L26
Seq6730;ee=0.015;size=10;	Unsorted_E31
Seq6745;ee=0.018;size=10;	Unsorted_F8
Seq6733;ee=0.016;size=10;	Unsorted_E33
Seq6767;ee=0.014;size=9;	Unsorted_O25
Seq6768;ee=0.0059;size=9;	Unsorted_A7
Seq6760;ee=0.022;size=9;	Unsorted_C45
Seq6795;ee=0.017;size=9;	Unsorted_J50
Seq6859;ee=0.0062;size=9;	Unsorted_N23
Seq6871;ee=0.4;size=9;	Unsorted_N17
Seq6901;ee=1.2;size=9;	Unsorted_H20
Seq6934;ee=0.0062;size=9;	Luciferase44_N
Seq6937;ee=0.017;size=9;	Unsorted_I34
Seq6954;ee=0.015;size=9;	Unsorted_Q3
Seq6977;ee=0.0062;size=9;	CTLA-Avidin33_N
Seq6992;ee=0.0062;size=9;	VEGF38_N
Seq7024;ee=0.05;size=9;	Unsorted_Q53
Seq7050;ee=0.014;size=9;	Unsorted_D61
Seq7110;ee=0.046;size=9;	Unsorted_E28
Seq7117;ee=0.017;size=9;	Unsorted_F2
Seq7134;ee=0.023;size=9;	Unsorted_C75
Seq7142;ee=0.017;size=9;	Unsorted_I72
Seq7153;ee=0.053;size=8;	Unsorted_L74
Seq7188;ee=0.023;size=8;	Unsorted_C41
Seq7261;ee=0.017;size=8;	Unsorted_I58
Seq7283;ee=0.046;size=8;	Unsorted_L29
Seq7380;ee=0.016;size=8;	Unsorted_O65
Seq7413;ee=0.017;size=8;	Unsorted_I39
Seq7439;ee=0.011;size=8;	Unsorted_H38
Seq7441;ee=0.014;size=8;	Unsorted_O43
Seq7484;ee=0.013;size=8;	Unsorted_L55
Seq7506;ee=0.014;size=8;	Unsorted_D2
Seq7528;ee=0.018;size=8;	CTLA-Tris-Carb39_K
Seq7531;ee=0.014;size=8;	PE40_O
Seq7588;ee=0.014;size=8;	Unsorted_O27
Seq7596;ee=0.0062;size=8;	Unsorted_N15
Seq7606;ee=0.017;size=8;	Native_J1
Seq7681;ee=0.0062;size=7;	Luciferase34_N
Seq7708;ee=0.023;size=7;	Unsorted_G68
Seq7725;ee=0.015;size=7;	CTLA-Tris-Carb13_O
Seq7822;ee=0.014;size=7;	Unsorted_Q57
Seq7848;ee=0.015;size=7;	Unsorted_E37
Seq7858;ee=0.066;size=7;	Unsorted_P34
Seq7852;ee=0.014;size=7;	Unsorted_N14
Seq7872;ee=0.0062;size=7;	PD1-Avidin30_N
Seq7878;ee=0.04;size=7;	Unsorted_Q68
Seq7879;ee=0.21;size=7;	Unsorted_E35
Seq7900;ee=0.015;size=7;	CTLA-Avidin18_E
Seq7906;ee=0.017;size=7;	Unsorted_J38
Seq7918;ee=0.0059;size=7;	GFP1_A
Seq7919;ee=0.018;size=7;	Unsorted_I9
Seq7930;ee=0.012;size=7;	Unsorted_P60
Seq7951;ee=0.02;size=7;	Unsorted_J35
Seq7991;ee=0.011;size=7;	Unsorted_A60
Seq8008;ee=0.0083;size=7;	Unsorted_M13
Seq8006;ee=0.014;size=7;	Unsorted_D5
Seq8033;ee=0.038;size=7;	Unsorted_P26
Seq8048;ee=0.015;size=7;	Unsorted_Q5
Seq8087;ee=0.013;size=7;	Unsorted_L21
Seq8095;ee=0.017;size=7;	Unsorted_K20
Seq8118;ee=0.017;size=7;	Unsorted_K65
Seq8177;ee=0.22;size=6;	Unsorted_J41
Seq8199;ee=0.014;size=6;	PE20_O
Seq8241;ee=0.0059;size=6;	GFP49_A
Seq8314;ee=0.017;size=6;	Unsorted_F48
Seq8362;ee=0.015;size=6;	Unsorted_E25
Seq8381;ee=0.017;size=6;	Unsorted_F24
Seq8397;ee=0.0062;size=6;	Unsorted_N46
Seq8428;ee=0.068;size=6;	Unsorted_L3
Seq8442;ee=0.81;size=6;	Native_G1
Seq8465;ee=0.089;size=6;	Unsorted_J15
Seq8489;ee=0.0086;size=6;	Unsorted_M74
Seq8507;ee=0.014;size=6;	PE19_O
Seq8525;ee=0.041;size=6;	Unsorted_E18
