Seq4289;ee=0.017;size=38;	Unsorted_I17
Seq4279;ee=0.0062;size=38;	Unsorted_N27
Seq4297;ee=0.013;size=38;	Unsorted_L21
Seq4301;ee=0.0062;size=38;	Unsorted_N11
Seq4302;ee=0.012;size=38;	Unsorted_P60
Seq4337;ee=0.02;size=37;	Unsorted_G30
Seq4364;ee=0.015;size=37;	Unsorted_Q52
Seq4398;ee=0.018;size=36;	CTLA-Tris-Carb27_K
Seq4435;ee=0.0062;size=36;	VEGF17_N
Seq4461;ee=0.012;size=35;	Unsorted_P14
Seq4472;ee=0.0062;size=35;	Unsorted_N31
Seq4476;ee=0.018;size=35;	Unsorted_K7
Seq4490;ee=0.018;size=35;	Unsorted_K20
Seq4498;ee=0.0059;size=35;	PD1-Avidin8_A
Seq4572;ee=0.0059;size=34;	Unsorted_A15
Seq4592;ee=0.017;size=34;	Unsorted_J1
Seq4606;ee=0.011;size=34;	Unsorted_P35
Seq4601;ee=0.0085;size=34;	Unsorted_M39
Seq4616;ee=0.017;size=34;	Unsorted_F52
Seq4653;ee=0.012;size=33;	Unsorted_P65
Seq4668;ee=0.017;size=33;	Unsorted_I66
Seq4673;ee=0.014;size=33;	Unsorted_D11
Seq4685;ee=0.0059;size=33;	PE25_A
Seq4691;ee=0.0062;size=33;	Unsorted_N23
Seq4704;ee=0.015;size=33;	Unsorted_E24
Seq4714;ee=0.0062;size=33;	Unsorted_N35
Seq4757;ee=0.0062;size=32;	Unsorted_N73
Seq4788;ee=0.017;size=32;	Unsorted_I75
Seq4816;ee=0.015;size=31;	Unsorted_E64
Seq4837;ee=0.0062;size=31;	Unsorted_N17
Seq4848;ee=0.0059;size=31;	GFP1_A
Seq4909;ee=0.0059;size=30;	Unsorted_A20
Seq4914;ee=0.017;size=30;	Unsorted_F71
Seq4905;ee=0.0062;size=30;	Unsorted_N18
Seq4911;ee=0.29;size=30;	Unsorted_I5
Seq4944;ee=0.0059;size=30;	CTLA-Avidin43_A
Seq4978;ee=0.0062;size=30;	PE29_N
Seq4988;ee=0.019;size=30;	Unsorted_J8
Seq4995;ee=0.015;size=29;	Unsorted_E51
Seq5013;ee=0.015;size=29;	Unsorted_E6
Seq5020;ee=0.016;size=29;	Unsorted_Q53
Seq5016;ee=0.011;size=29;	Unsorted_P26
Seq5027;ee=0.0059;size=29;	Unsorted_A28
Seq5109;ee=0.017;size=28;	Unsorted_J63
Seq5118;ee=0.017;size=28;	Unsorted_J35
Seq5151;ee=0.012;size=28;	Unsorted_P48
Seq5152;ee=0.013;size=28;	Unsorted_L53
Seq5154;ee=0.015;size=28;	Unsorted_Q38
Seq5161;ee=0.0062;size=28;	Unsorted_N55
Seq5171;ee=0.011;size=28;	Unsorted_H39
Seq5207;ee=0.0059;size=27;	Unsorted_A5
Seq5235;ee=0.0059;size=27;	PD1-Avidin41_A
Seq5256;ee=0.0062;size=27;	Luciferase34_N
Seq5308;ee=0.015;size=27;	Unsorted_Q14
Seq5325;ee=0.015;size=27;	Unsorted_E44
Seq5332;ee=0.022;size=26;	Unsorted_C50
Seq5350;ee=0.018;size=26;	Unsorted_J10
Seq5360;ee=0.017;size=26;	Unsorted_F63
Seq5378;ee=0.016;size=26;	Unsorted_B72
Seq5381;ee=0.015;size=26;	Unsorted_Q36
Seq5394;ee=0.02;size=26;	Unsorted_I47
Seq5400;ee=0.017;size=26;	Unsorted_J60
Seq5442;ee=0.015;size=26;	Unsorted_E22
Seq5454;ee=0.018;size=25;	PE48_O
Seq5464;ee=0.016;size=25;	Unsorted_E47
Seq5468;ee=0.0062;size=25;	Unsorted_N41
Seq5475;ee=0.018;size=25;	Native_F1
Seq5482;ee=0.014;size=25;	Native_D1
Seq5504;ee=0.019;size=25;	Unsorted_Q34
Seq5596;ee=0.0062;size=24;	VEGF4_N
Seq5594;ee=0.02;size=24;	Unsorted_L25
Seq5601;ee=0.017;size=24;	Unsorted_J42
Seq5610;ee=0.012;size=24;	Unsorted_P62
Seq5616;ee=0.011;size=24;	Unsorted_H68
Seq5631;ee=0.015;size=24;	Unsorted_E75
Seq5641;ee=0.023;size=24;	Unsorted_C38
Seq5648;ee=0.016;size=24;	Unsorted_E30
Seq5672;ee=0.018;size=24;	Unsorted_K1
Seq5673;ee=0.015;size=24;	Unsorted_E27
Seq5689;ee=0.33;size=24;	Unsorted_C48
Seq5704;ee=0.014;size=24;	PE44_O
Seq5710;ee=0.019;size=23;	CTLA-Tris-Carb39_K
Seq5727;ee=0.0059;size=23;	GFP16_A
Seq5734;ee=0.0059;size=23;	CTLA-Avidin46_A
Seq5755;ee=0.0062;size=23;	Luciferase1_N
Seq5757;ee=0.017;size=23;	Unsorted_I42
Seq5769;ee=0.015;size=23;	Unsorted_E12
Seq5786;ee=0.0062;size=23;	VEGF1_N
Seq5832;ee=0.0062;size=23;	Unsorted_N46
Seq5871;ee=0.0059;size=22;	PD1-Avidin14_A
Seq5893;ee=0.014;size=22;	Unsorted_E5
Seq5894;ee=0.011;size=22;	Unsorted_P45
Seq5931;ee=0.014;size=22;	Unsorted_E54
Seq5937;ee=0.017;size=22;	Unsorted_I61
Seq5952;ee=0.017;size=22;	Unsorted_J15
Seq5968;ee=0.014;size=22;	Unsorted_D55
Seq5998;ee=0.0062;size=21;	Luciferase25_N
Seq6019;ee=0.017;size=21;	Unsorted_J29
Seq6048;ee=0.0059;size=21;	Unsorted_A60
Seq6090;ee=0.018;size=21;	Unsorted_P34
Seq6118;ee=0.015;size=21;	Unsorted_E31
Seq6123;ee=0.022;size=21;	Unsorted_C16
Seq6127;ee=0.0062;size=21;	VEGF2_N
Seq6135;ee=0.0062;size=21;	Unsorted_N28
Seq6142;ee=0.014;size=21;	Unsorted_L7
Seq6146;ee=0.016;size=21;	Unsorted_B47
Seq6270;ee=0.0062;size=20;	PD1-Avidin50_N
Seq6273;ee=0.024;size=20;	Unsorted_C41
Seq6301;ee=0.13;size=20;	Unsorted_J68
Seq6305;ee=0.027;size=20;	Unsorted_C37
Seq6310;ee=0.016;size=20;	Unsorted_B7
Seq6313;ee=0.014;size=20;	CTLA-Tris-Carb16_O
Seq6311;ee=0.017;size=20;	Unsorted_J21
Seq6359;ee=0.043;size=19;	Unsorted_B62
Seq6424;ee=0.0062;size=19;	VEGF18_N
Seq6425;ee=0.014;size=19;	PE11_O
Seq6441;ee=0.0062;size=19;	VEGF33_N
Seq6465;ee=0.015;size=19;	Unsorted_Q73
Seq6491;ee=0.018;size=19;	Unsorted_J74
Seq6553;ee=0.015;size=18;	Unsorted_Q23
Seq6579;ee=0.022;size=18;	Unsorted_C3
Seq6577;ee=0.0062;size=18;	Unsorted_N38
Seq6610;ee=0.015;size=18;	CTLA-Avidin31_E
Seq6618;ee=0.0062;size=18;	Unsorted_N69
Seq6631;ee=0.014;size=18;	Unsorted_D61
Seq6654;ee=0.0062;size=18;	CTLA-Avidin33_N
Seq6658;ee=0.054;size=18;	Unsorted_L65
Seq6675;ee=0.0062;size=18;	VEGF13_N
Seq6715;ee=0.025;size=17;	Unsorted_C65
Seq6732;ee=0.014;size=17;	PE40_O
Seq6750;ee=0.0063;size=17;	CTLA-Avidin2_A
Seq6762;ee=0.0062;size=17;	Unsorted_N63
Seq6773;ee=0.017;size=17;	Unsorted_I3
Seq6779;ee=0.014;size=17;	PE37_O
Seq6826;ee=0.017;size=17;	Unsorted_I59
Seq6864;ee=0.015;size=17;	Unsorted_Q68
Seq6898;ee=0.0062;size=17;	VEGF37_N
Seq6942;ee=0.013;size=16;	Unsorted_L3
Seq6953;ee=0.018;size=16;	Unsorted_K59
Seq6975;ee=0.017;size=16;	Unsorted_F11
Seq6978;ee=0.018;size=16;	Native_K1
Seq6984;ee=0.014;size=16;	Unsorted_O45
Seq6988;ee=0.37;size=16;	Unsorted_Q11
Seq6992;ee=0.0086;size=16;	Unsorted_M67
Seq7011;ee=0.0059;size=16;	CTLA-Avidin14_A
Seq7022;ee=0.017;size=16;	Unsorted_J43
Seq7031;ee=0.0062;size=16;	Unsorted_N34
Seq7057;ee=0.018;size=16;	Unsorted_J45
Seq7125;ee=0.0062;size=16;	Luciferase23_N
Seq7126;ee=0.017;size=16;	Unsorted_J34
Seq7138;ee=0.0086;size=16;	Unsorted_M32
